DATAFLOW,LAST UPDATE,freq,nace_r1,wstatus,worktime,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,1995,40.0,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,1996,39.8,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Austria,1997,40.2,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,1995,37.8,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,1996,37.8,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Belgium,1997,37.9,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Switzerland,1996,37.0,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Switzerland,1997,37.1,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Czechia,1997,43.4,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Germany,1995,38.7,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Germany,1996,38.7,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Germany,1997,38.6,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Denmark,1995,34.3,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Denmark,1996,34.0,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Denmark,1997,34.4,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Estonia,1997,41.3,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Greece,1995,42.3,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Greece,1996,41.9,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Greece,1997,41.8,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Spain,1995,38.3,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Spain,1996,38.0,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Spain,1997,38.3,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Finland,1995,36.9,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Finland,1996,37.6,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Finland,1997,39.4,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,France,1995,39.7,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,France,1996,39.6,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,France,1997,39.2,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Hungary,1996,41.2,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Hungary,1997,42.0,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Ireland,1995,39.6,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Ireland,1996,40.1,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Ireland,1997,39.5,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Iceland,1995,41.2,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Iceland,1996,42.1,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Iceland,1997,41.8,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Italy,1995,39.3,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Italy,1996,38.8,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Italy,1997,39.2,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Luxembourg,1995,39.7,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Luxembourg,1996,39.3,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Luxembourg,1997,39.2,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Netherlands,1995,30.5,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Netherlands,1996,32.3,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Netherlands,1997,32.3,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Norway,1995,34.4,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Norway,1996,34.9,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Norway,1997,35.7,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Poland,1997,42.2,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Portugal,1995,41.6,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Portugal,1996,40.8,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Portugal,1997,40.0,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Romania,1997,40.3,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Sweden,1995,34.0,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Sweden,1996,34.4,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Sweden,1997,36.3,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Slovenia,1996,42.2,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,Slovenia,1997,40.5,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,United Kingdom,1995,36.9,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,United Kingdom,1996,36.7,,
ESTAT:LFSA_EWHANA(1.0),15/02/23 23:00:00,Annual,Total - all NACE activities,Employed persons,Total,From 15 to 64 years,Total,Hour,United Kingdom,1997,36.5,,
