STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,MEASURE,Mesure,FREQ,Fréquence d'observation,TIME_PERIOD,Période de temps,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unité de mesure,PRICE_BASE,Ajustement,ADJUSTMENT,Base de prix,UNIT_MULT,Multiplicateur d'unité,CURRENCY,Monnaie,BASE_PER,Période de base,METHODOLOGY,Méthode,DECIMALS,Decimals
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2012-Q3,,0,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2006-Q1,,1.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2005-Q4,,1.25,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2005-Q3,,1,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2005-Q2,,1,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,1999-Q2,,1.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,1999-Q1,,2,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2003-Q1,,1.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2018-Q4,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2018-Q3,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2018-Q2,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2018-Q1,,-0.4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2001-Q1,,3.75,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2000-Q4,,3.75,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2000-Q3,,3.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2000-Q2,,3.25,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2009-Q4,,0.25,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2009-Q3,,0.25,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2009-Q2,,0.25,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2009-Q1,,0.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2008-Q4,,2,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2008-Q3,,3.25,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2008-Q2,,3,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2008-Q1,,3,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2024-Q4,,3.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2024-Q3,,3.75,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2000-Q1,,2.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,1999-Q4,,2,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,1999-Q3,,1.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2005-Q1,,1,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2004-Q4,,1,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2004-Q3,,1,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2004-Q2,,1,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2004-Q1,,1,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2003-Q4,,1,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2003-Q3,,1,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2003-Q2,,1,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2024-Q2,,4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2024-Q1,,4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2023-Q4,,4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2023-Q3,,4,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2023-Q2,,3.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2023-Q1,,3,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2022-Q4,,2,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2022-Q3,,0.75,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2022-Q2,,-0.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2022-Q1,,-0.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2021-Q4,,-0.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2021-Q3,,-0.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2021-Q2,,-0.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
DATAFLOW,OECD.ECO.MAD:DSD_EO_115@DF_EO_115(1.0),Perspectives Economiques 115,I,EA17,Zone euro (17 pays),IRCB,Taux d'int‚rˆt directeur des banques centrales,Q,Trimestrielle,2021-Q1,,-0.5,,,,PO,Points,,,,,0,Units,,,,,,,2,Two
